company_id,location_id,product,capacity
34,556,2,750
34,556,3,750
34,556,1,750
34,557,3,750
34,557,1,750
34,558,2,750
34,558,3,750
34,558,1,750
34,559,2,750
34,559,1,750
34,560,3,750
34,560,1,750
34,561,3,750
34,561,1,750
34,561,4,750
34,562,2,750
34,562,3,750
34,562,1,750
34,563,2,750
34,563,3,750
34,563,1,750
34,564,3,750
34,564,1,750
34,565,3,750
34,565,1,750
34,566,3,750
34,566,1,750
34,567,3,750
34,568,1,750
34,569,3,750
34,570,1,750
34,571,3,750
34,571,1,750
34,572,3,750
34,572,1,750
34,573,1,750
34,574,3,750
34,574,1,750
34,575,3,750
34,576,3,750
34,577,2,750
34,578,1,750
34,579,1,750
34,580,3,750
34,580,1,750
34,581,3,750
34,582,1,750
34,583,1,750
34,584,3,750
34,585,3,750
34,585,1,750
34,586,1,750
34,587,3,750
34,588,1,750
34,589,1,750
34,590,1,750
34,591,3,750
34,592,2,750
34,592,4,750
34,593,1,750
34,594,1,750
34,595,1,750
34,596,3,750
34,597,3,750
34,598,1,750
34,599,3,750
34,600,3,750
34,601,3,750
34,602,3,750
34,603,1,750
34,604,3,750
34,605,3,750
34,606,3,750
34,607,3,750
34,608,3,750
34,609,3,750
34,610,4,750
34,611,3,750
34,612,3,750
34,613,1,750
34,614,1,750
34,615,3,750
34,616,3,750
34,617,3,750
34,618,1,750
34,619,3,750
34,620,3,750
34,621,1,750
34,622,3,750
34,623,3,750
34,624,3,750
34,625,3,750
34,626,3,750
34,627,1,750
34,628,3,750
34,629,1,750
34,630,1,750
34,631,3,750
34,632,2,750
34,633,1,750
34,634,1,750
34,635,1,750
34,636,1,750
34,637,3,750
34,638,3,750
34,639,3,750
35,640,1,257
35,640,2,540
35,641,3,475
35,641,4,721
36,642,4,325
37,643,1,429
37,643,3,1050
38,644,1,391
38,644,2,400
39,645,4,822
39,645,1,196
39,645,3,210
39,645,2,60
39,646,4,150
39,647,4,300
39,648,4,30
39,648,1,111
39,648,3,62
39,648,2,115
39,649,1,882
40,650,1,335
40,650,3,220
40,651,1,308
40,651,3,275
40,652,1,1289
40,652,3,102
40,652,2,1400
40,653,1,358
40,653,3,610
41,654,4,290
41,654,1,167
41,654,3,289
41,655,4,602
41,655,1,375
41,656,4,388
41,656,1,255
41,656,3,416
42,657,1,551
43,658,1,365
43,659,1,965
43,659,3,1600
43,659,2,460
44,660,1,870
44,660,3,640
44,660,2,520
44,661,1,530
44,661,3,1130
44,662,1,760
44,662,3,250
44,662,2,460
45,663,1,372
45,663,3,390
46,664,1,211
47,665,3,110
48,666,1,414
