salesperson_id,product_id,state,city,latitude,longitude,shiptonumber,customer_id,company_id,source_id,price,metric,tons,mode_id,terms,ship_start,completed
8,2,MN,WALNUT GROVE,44.2230121,-95.469449,218239,151,34,558,179,$/st,101,2,DEL,Aug-17,yes
7,2,AB,DRUMHELLER,51.4333,-112.667,101292,396,34,559,339,$/st,47,2,FOB,Aug-17,yes
13,1,MN,WOOD LAKE,44.6527349,-95.5383495,208139,8,34,598,230.39,$/st,20,2,DEL,Aug-17,yes
12,1,IL,MORRIS,41.357254,-88.4211785,200553,3,34,580,254,$/st,56,2,FOB,Aug-17,no
9,1,OK,AMES,36.2458685,-98.1853448,101584,47,34,560,200,$/st,21,2,FOB,Aug-17,no
3,1,NE,CRESTON,41.7066754,-97.362543,100592,131,34,558,240,$/st,41,2,DEL,Aug-17,no
1,4,FL,TAMPA,27.9475216,-82.4584279,201883,99,34,561,140.66,$/st,97,1,FOB,Aug-17,yes
1,4,FL,TAMPA,27.9475216,-82.4584279,201883,72,34,561,138.07,$/st,498,1,FOB,Aug-17,no
8,2,ND,ENDERLIN,46.623028,-97.6014862,101459,29,34,558,176,$/st,28,2,FOB,Aug-17,no
3,3,KS,LEON,37.6902964,-96.7822508,101925,828,34,560,180,$/st,27,2,FOB,Aug-17,yes
8,1,IA,DURANT,41.5997498,-90.9107038,210377,69,34,566,230,$/st,39,2,FOB,Aug-17,yes
14,1,MN,CLARA CITY,44.9549593,-95.3664045,208360,8,34,598,238.29,$/st,36,2,FOB,Aug-17,no
13,2,SD,HITCHCOCK,44.629702,-98.4095385,218609,5,34,558,175,$/st,276,2,FOB,Aug-17,yes
13,2,ND,WYNDMERE,46.2666272,-97.1323098,205644,5,34,558,170,$/st,26,2,DEL,Aug-17,no
13,2,SD,TULARE,44.7380336,-98.5098176,218161,5,34,558,174.4,$/st,26,2,DEL,Aug-17,no
3,2,SD,YALE,44.4338671,-97.9900878,209432,36,34,558,177,$/st,34,2,FOB,Aug-17,no
3,2,SD,CARPENTER,44.6374734,-97.9167552,209441,36,34,558,175,$/st,122,2,FOB,Aug-17,yes
1,4,GA,ELLENTON,31.1760205,-83.587389,208112,50,34,561,158.95,$/st,100,1,FOB,Aug-17,yes
1,4,GA,CAMILLA,31.2312933,-84.2104611,205658,50,34,561,158.96,$/st,99,1,FOB,Aug-17,no
2,3,CA,HANFORD,36.3274502,-119.6456844,209708,187,34,602,200,$/st,121,2,FOB,Aug-17,yes
13,2,SD,WALL,43.9924889,-102.2415477,207660,714,34,558,176.69,$/st,32,2,DEL,Aug-17,yes
13,2,ND,TOWER CITY,46.9227548,-97.6739889,205126,1,34,558,176,$/st,59,2,DEL,Aug-17,yes
3,2,SD,MILLER,44.5183148,-98.988434,204615,699,34,558,174.49,$/st,26,2,FOB,Aug-17,yes
2,2,CA,IMPERIAL,32.8475529,-115.5694391,201406,12,34,556,175.28,$/st,200,1,DEL,Aug-17,no
8,2,MN,WELCOME,43.6668998,-94.6194213,206084,29,34,558,180,$/st,50,2,FOB,Aug-17,no
3,2,SD,MITCHELL,43.7094283,-98.0297992,215527,21,34,558,180,$/st,61,2,DEL,Aug-17,yes
5,2,NE,EDISON,40.2772297,-99.7770633,100169,556,34,558,180,$/st,30,2,FOB,Aug-17,yes
2,1,WA,WATERVILLE,47.6470761,-120.0711788,207153,258,34,603,370,$/st,20,2,FOB,Aug-17,yes
13,2,IA,DUNLAP,41.8544327,-95.6005594,206685,5,34,558,185,$/st,51,2,DEL,Aug-17,yes
13,2,MN,BINGHAM LAKE,43.9066239,-95.0463791,100548,1,34,558,185,$/st,51,2,FOB,Aug-17,yes
13,2,SD,PLANKINTON,43.715546,-98.4850855,101891,1,34,558,185,$/st,126,2,DEL,Aug-17,no
5,2,KS,BUCKLIN,37.5472429,-99.6342901,206106,8,34,577,185,$/st,29,2,DEL,Aug-17,no
4,2,ND,GRAND FORKS,47.9252568,-97.0328547,207381,199,34,558,177,$/st,138,2,DEL,Aug-17,yes
10,2,MN,BROWNTON,44.7319068,-94.3502593,218615,842,34,558,180,$/st,23,2,FOB,Aug-17,yes
5,2,KS,LARNED,38.1805693,-99.098713,100482,1,34,577,190,$/st,210,2,FOB,Aug-17,no
4,2,MN,SAUK CENTRE,45.737465,-94.9525216,207470,45,34,558,166,$/st,74,2,FOB,Aug-17,yes
4,2,MN,MAYNARD,44.9069025,-95.4689074,203399,45,34,558,172,$/st,26,2,FOB,Aug-17,no
