state,ship to county,ship to city,latitude,longitude,ship to number,ship to name,parent,nickname,nh3,uan,urea,an,truck,rail,unit train,rail line,barge,nh3storage,uanstorage,ureastorage,anstorage,nh32015,nh32016,nh32017,uan2015,uan2016,uan2017,urea2015,urea2016,urea2017,an2015,an2016,an2017
NC,CRAVEN,NEW BERN,35.1084931,-77.0441143,100061,HARVEY FERTILIZER/DIXIE CHEMICAL,100061,,no,yes,no,yes,no,yes,no,NS,no,0,300,0,1800,0,0,0,218.06,0,0,0,0,0,"1,395.23",0,0
WI,CLARK,DORCHESTER,45.0030238,-90.3356913,100066,HEARTLAND COOPERATIVE SVCS INC,100066,,no,no,yes,no,yes,no,no,n/a,no,0,0,100,0,280.64,288.58,205.7,0,0,26.68,79.12,0,0,0,0,0
OK,DEWEY,SEILING,36.1480957,-98.9242615,100067,HEDGES AG SERVICE INC,100067,,no,yes,no,no,yes,no,no,n/a,no,0,2100,0,0,0,0,0,225.9,"1,594.25",559.07,0,0,0,0,0,0
CA,FRESNO,FRESNO,36.7477272,-119.7723661,100073,HELENA CHEMICAL CO,unmatched,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,27.17,0,0,0,0,0,0
ON,CANADA,HENSALL,43.43,-81.5,100076,HENSALL DISTRICT COOP,100076,,no,yes,no,no,yes,no,no,n/a,no,0,6600,0,0,765.2,953.86,812.53,"2,547.70","5,084.77","2,160.56",0,0,0,0,0,0
IA,AUDUBON,AUDUBON,41.7180421,-94.9324868,100077,HERBERS SEED & CONSULTING INC,100077,,no,yes,yes,no,yes,no,no,n/a,no,0,1800,600,0,0,490.31,531.63,"1,422.76",0,264.84,0,0,478.5,0,0,0
KS,SUMNER,WELLINGTON,37.2653004,-97.3717119,100079,FARMERS COOP GRAIN ASSN INC,100079,,yes,no,no,no,yes,no,no,n/a,no,140,0,0,0,189.45,61.96,0,0,0,0,0,0,0,0,0,0
NE,PERKINS,ELSIE,40.847498,-101.3884967,100081,HI-LINE COOP INC,100081,,yes,no,yes,no,yes,no,no,n/a,no,600,0,300,0,0,0,0,0,0,0,255.19,0,30.38,0,0,0
OK,WOODWARD,WOODWARD,36.4336481,-99.3903862,100089,HUNTERS LIVESTOCK SUPPLY,100089,,no,yes,no,no,yes,no,no,n/a,no,0,500,0,0,0,0,0,43.47,392.96,72.41,0,0,0,0,0,0
CA,FRESNO,FRESNO,36.7477272,-119.7723661,100094,IAP,unmatched,,no,yes,no,no,yes,no,no,n/a,no,0,400,0,0,0,0,0,0,0,294.76,0,0,0,0,0,0
OK,TULSA,TULSA,36.1539816,-95.992775,100101,INTERNATIONAL CHEMICAL CO,100101,,no,yes,yes,no,yes,no,no,n/a,no,0,2600,2200,0,50.16,"4,865.70",82.16,0,"2,019.13",178.94,0,"1,677.70",0,0,0,0
OK,DELAWARE,GROVE,36.5936863,-94.7691186,100112,JACK CAUDILL FARMS,100112,,no,yes,no,no,yes,no,no,n/a,no,0,900,0,0,0,0,0,689.9,578.53,495.75,0,0,0,0,0,0
TN,SHELBY,MEMPHIS,35.1495343,-90.0489801,100117,PINNACLE AG DISTRIBUTION INC,100117,,no,yes,no,no,yes,no,no,n/a,no,0,1300,0,0,0,0,0,965.87,0,0,0,0,0,0,0,0
OK,OTTAWA,AFTON,36.693687,-94.9630171,100121,JOHNSON BROTHERS GRAIN,100121,,no,yes,no,no,yes,no,no,n/a,no,0,900,0,0,0,0,0,285.78,544.94,682.94,0,0,0,0,0,0
OK,BECKHAM,SAYRE,35.291162,-99.6400969,100122,JOHNSON FERTILIZER INC,100122,,no,yes,yes,no,yes,no,no,n/a,no,0,1100,100,0,0,0,0,533.86,834.49,624.44,0,79.52,27.83,0,0,0
